ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
A comparison of biomonitoring methodologies for surf zone fish communities.,"Gold, Z. & Koch, M.Q. & Schooler, N.K. & Emery, K.A. & Dugan, J.E. & Miller, R.J. & Page, H.M. & Schroeder, D.M. & Hubbard, D.M. & Madden, J.R. & Whitaker, S.G. & Barber, P.H. (2023)",2023,A comparison of biomonitoring methodologies for surf zone fish communities. Plos One,18.0,6.0,,10.1371/journal.pone.0260903,Batch 2: Recent papers (2021-2023)
A comparison of the growth and development of pyjama sharks (Poroderma africanum) in wild and captive populations.,"Kiyatake, I. & Johnson, T.L. & Cottrant, E. & Kitadani, Y. & Onda, K. & Murata, M. & Drobniewska, N.J. & Paulet, T.G. & Nishida, K. (2023)",2023,A comparison of the growth and development of pyjama sharks (Poroderma africanum) in wild and captive populations. Journal of Fish Biology,103.0,6.0,,10.1111/jfb.15555,Batch 2: Recent papers (2021-2023)
"A comprehensive record of the fishery resources of a tropical Ramsar wetland: Ashtamudi Estuary, India.","Kumar, A.A. & Ali, P.H.A. & Bhavan, S.G. (2023)",2023,"A comprehensive record of the fishery resources of a tropical Ramsar wetland: Ashtamudi Estuary, India. Marine Biodiversity",53.0,4.0,,10.1007/s12526-023-01354-z,Batch 2: Recent papers (2021-2023)
"A critical evaluation of adult blacktip shark, Carcharhinus limbatus, distribution off the United States East Coast.","Bowers, M.E. & Kajiura, S.M. (2023)",2023,"A critical evaluation of adult blacktip shark, Carcharhinus limbatus, distribution off the United States East Coast. Environmental Biology of Fishes",106.0,8.0,,10.1007/s10641-023-01449-3,Batch 2: Recent papers (2021-2023)
"A diverse assemblage of Ptychodus species (Elasmobranchii: Ptychodontidae) from the Upper Cretaceous of Ukraine, with comments on possible diversification drivers during the Cenomanian,","Amadori, M. & Kovalchuk, O. & Barkaszi, Z. & Giusberti, L. & Kindlimann, R. & Kriwet, J. (2023)",2023,"A diverse assemblage of Ptychodus species (Elasmobranchii: Ptychodontidae) from the Upper Cretaceous of Ukraine, with comments on possible diversification drivers during the Cenomanian, Cretaceous Research",,,,10.1016/j.cretres.2023.105659,Batch 2: Recent papers (2021-2023)
"A first look at whale sharks in Hawaiian waters: Using citizen science to study the world's largest fish, Rhincodon typus.","Marcoux, T.M. & Marcoux, S.D. & Harvey, M. & Araujo, G. (2023)",2023,"A first look at whale sharks in Hawaiian waters: Using citizen science to study the world's largest fish, Rhincodon typus. Aquatic Conservation, Marine and Freshwater Ecosystems",33.0,3.0,,10.1002/aqc.3915,Batch 2: Recent papers (2021-2023)
A glimpse into the trophic ecology of deep-water sharks in an important crustacean fishing ground.,"Aranha, S.G. & Teodosio, A. & Baptista, V. & Erzini, K. & Dias, E. (2023)",2023,A glimpse into the trophic ecology of deep-water sharks in an important crustacean fishing ground. Journal of Fish Biology,102.0,3.0,,10.1111/jfb.15306,Batch 2: Recent papers (2021-2023)
"A historical approach to describing the complex behaviour of a large species of carnivorous shark - Case study No. 1: the scalloped hammerhead, Sphyrna lewini.","Klimley, A.P. (2023)",2023,"A historical approach to describing the complex behaviour of a large species of carnivorous shark - Case study No. 1: the scalloped hammerhead, Sphyrna lewini. Behaviour",160.0,,,10.1163/1568539X-bja10211,Batch 2: Recent papers (2021-2023)
"A historical approach to describing the complex behaviour of a large species of predatory shark - Case study 2: the white shark, Carcharodon carcharias.","Klimley, A.P. (2023)",2023,"A historical approach to describing the complex behaviour of a large species of predatory shark - Case study 2: the white shark, Carcharodon carcharias. Behaviour",160.0,,,10.1163/1568539X-bja10194,Batch 2: Recent papers (2021-2023)
A holistic and comprehensive data approach validates the distribution of the critically endangered flapper skate (Dipturus intermedius).,"Garbett, A. & Loca, S.L. & Barreau, T. & Biscoito, M. & Bradley, C. & Breen, J. & Clarke, M. & Ellis, J.R. & Griffiths, A.M. & Hannon, G. & Jakobsdottir, K. & Junge, C. & Lynghammar, A. & McCloskey, M. & Minos, G. & Phillips, N.D. & Prodohl, P.A. & Roche, W. & Iglésias, S.P. & Thorburn, J. & Collins, P.C. (2023)",2023,A holistic and comprehensive data approach validates the distribution of the critically endangered flapper skate (Dipturus intermedius). Journal of Fish Biology,103.0,3.0,,10.1111/jfb.15466,Batch 2: Recent papers (2021-2023)
A large scale temporal and spatial environmental DNA biodiversity survey of marine vertebrates in Brazil following the Fundao tailings dam failure.,"Lines, R. & Juggernauth, M. & Peverley, G. & Keating, J. & Simpson, T. & Mousavi-Derazmahalleh, M. & Bunce, M. & Taysom, A. & Bernardino, A.F. & Whittle, P. (2023)",2023,A large scale temporal and spatial environmental DNA biodiversity survey of marine vertebrates in Brazil following the Fundao tailings dam failure. Marine Environmental Research,,,,10.1016/j.marenvres.2023.106239,Batch 2: Recent papers (2021-2023)
"A marine microvertebrate fauna from a temporary exposure of the Atherfield Clay Formation, Reigate, Surrey.","Batchelor, T.J. & Duffin, C.J. (2023)",2023,"A marine microvertebrate fauna from a temporary exposure of the Atherfield Clay Formation, Reigate, Surrey. Proceedings of the Geologists' Association, Volume 134(5–6)",,,,10.1016/j.pgeola.2023.08.001,Batch 2: Recent papers (2021-2023)
A molecular and epidemiological study of Grillotia (Cestoda: Trypanorhyncha) larval infection in Etmopterus spinax (Elasmobranchii: Squaliformes) in the Mediterranean Sea and Northeast Atlantic Ocean.,"Isbert, W. & Dallares, S. & Grau, A. & Petrou, A. & Garcia-Ruiz, C. & Guijarro, B. & Jung, A. & Catanese, G. (2023)",2023,A molecular and epidemiological study of Grillotia (Cestoda: Trypanorhyncha) larval infection in Etmopterus spinax (Elasmobranchii: Squaliformes) in the Mediterranean Sea and Northeast Atlantic Ocean. Deep-Sea Research Part I-Oceanographic Research Papers,,,,10.1016/j.dsr.2023.104102,Batch 2: Recent papers (2021-2023)
A multi-predator trophic database for the California Current Large Marine Ecosystem.,"Bizzarro, J.J. & Dewitt, L. & Wells, B.K. & Curtis, K.A. & Santora, J.A. & Field, J.C. (2023)",2023,A multi-predator trophic database for the California Current Large Marine Ecosystem. Scientific Data,10.0,1.0,,10.1038/s41597-023-02399-2,Batch 2: Recent papers (2021-2023)
"A new Bartonian elasmobranch assemblage from the Kutch Basin, western India, and its significance in the context of paleoclimate change.","Verma, S.K. (2023)",2023,"A new Bartonian elasmobranch assemblage from the Kutch Basin, western India, and its significance in the context of paleoclimate change. Historical Biology",36.0,10.0,,10.1080/08912963.2023.2238736,Batch 2: Recent papers (2021-2023)
"A new Palaeogene elasmobranch fauna (Tebessa region, eastern Algeria) and the importance of Algerian-Tunisian phosphates for the North African fossil record.","Boulemia, S. & Adnet, S. (2023)",2023,"A new Palaeogene elasmobranch fauna (Tebessa region, eastern Algeria) and the importance of Algerian-Tunisian phosphates for the North African fossil record. Annales de Paléontologie",109.0,3.0,,10.1016/j.annpal.2023.102632,Batch 2: Recent papers (2021-2023)
"A new janassid (Chondrichthyes, Petalodontiformes) from the Late Mississippian of Alabama, USA.","Itano, W.M. (2023)",2023,"A new janassid (Chondrichthyes, Petalodontiformes) from the Late Mississippian of Alabama, USA. Historical Biology",36.0,4.0,,10.1080/08912963.2023.2194902,Batch 2: Recent papers (2021-2023)
A new low diversity lacustrine elasmobranch fauna from the Lower Triassic Burgersdorp Formation of South Africa with descriptions of Lissodus tumidoclavus n. sp. (Chondrichthyes: Hybodontoidea).,"Duffin, C.J. & Heckert, A.B. & Hancox, P.J. (2023)",2023,"A new low diversity lacustrine elasmobranch fauna from the Lower Triassic Burgersdorp Formation of South Africa with descriptions of Lissodus tumidoclavus n. sp. (Chondrichthyes: Hybodontoidea). Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",308.0,2.0,,10.1127/njgpa/2023/1134,Batch 2: Recent papers (2021-2023)
A new neoselachian shark from the marine Early Cretaceous of Southern England.,"Batchelor, T.J. & Duffin, C.J. (2023)",2023,A new neoselachian shark from the marine Early Cretaceous of Southern England. Proceedings of the Geologists' Association,134.0,3.0,,10.1016/j.pgeola.2023.03.003,Batch 2: Recent papers (2021-2023)
"A new parasitic copepod species of Tautochondria (Siphonostomatoida: Hyponeoidae), found in the narrowmouthed catshark Schroederichthys bivius from the Strait of Magellan.","Munoz, G. & Hernandez, S. & Lopez, Z. (2023)",2023,"A new parasitic copepod species of Tautochondria (Siphonostomatoida: Hyponeoidae), found in the narrowmouthed catshark Schroederichthys bivius from the Strait of Magellan. Parasitology International",,,,10.1016/j.parint.2022.102694,Batch 2: Recent papers (2021-2023)
"A new record of Squalus montalbani (Chondrichthyes: Squaliformes: Squalidae) from the Nansha (Spratly) Islands, South China Sea.","Zhang, M.Y. & Shan, B.B. & Liu, Y. & Wang, L.M. & Yang, C.P. & Liu, M.T. & Xie, Q.J. & Sun, D.R. (2023)",2023,"A new record of Squalus montalbani (Chondrichthyes: Squaliformes: Squalidae) from the Nansha (Spratly) Islands, South China Sea. Acta Ichthyologica et Piscatoria",,,,10.3897/aiep.53.103579,Batch 2: Recent papers (2021-2023)
"A new species of Phoreiobothrium Linton, 1889 (Cestoda: Onchoproteocephalidea) from the spinner shark, Carcharhinus brevipinna (Valenciennes) off the coast of KwaZulu-Natal, South Africa.","Van der Spuy, L. & Smit, N.J. & Naidoo, K. & Schaeffner, B.C. (2023)",2023,A new species of Phoreiobothrium Linton,,,,10.1007/s11230-022-10077-x,Batch 2: Recent papers (2021-2023)
A new symmoriiform shark and other chondrichthyan teeth from the earliest Permian of southern Brazil.,"Pauliv, V.E. & Dias, E.V. & Sedor, F.A. & Weinschuetz, L.C. & Ribeiro, A.M. (2023)",2023,A new symmoriiform shark and other chondrichthyan teeth from the earliest Permian of southern Brazil. Revista Brasileira De Paleontologia,26.0,3.0,,10.4072/rbp.2023.3.07,Batch 2: Recent papers (2021-2023)
A novel intrauterine satellite transmitter to identify parturition in large sharks.,"Sulikowski, J.A. & Hammerschlag, N. (2023)",2023,A novel intrauterine satellite transmitter to identify parturition in large sharks. Science Advances,9.0,9.0,,10.1126/sciadv.add6340,Batch 2: Recent papers (2021-2023)
A novel report on the emerging and zoonotic neurotropic fungus Trichosporon japonicum in the brain tissue of the endangered Brazilian guitarfish (Pseudobatos horkelii) off the southeastern coast of Brazil.,"Peixoto-Rodrigues, M.C. & da Costa, G.L. & Pinto, T.N. & Adesse, D. & Oliveira, M.M.E. & Hauser-Davis, R.A. (2023)",2023,A novel report on the emerging and zoonotic neurotropic fungus Trichosporon japonicum in the brain tissue of the endangered Brazilian guitarfish (Pseudobatos horkelii) off the southeastern coast of Brazil. BMC Microbiology,23.0,1.0,,10.1186/s12866-023-03128-w,Batch 2: Recent papers (2021-2023)
A puzzling occurrence of the bite mark ichnogenus Linichnus from the Lower Miocene Chilcatay Formation of Peru.,"Collareta, A. & Carnevale, G. & Bianucci, G. & Varas-Malca, R. & Altamirano-Sierra, A. & Urbina, M. & Di Celma, C. (2023)",2023,"A puzzling occurrence of the bite mark ichnogenus Linichnus from the Lower Miocene Chilcatay Formation of Peru. Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",308.0,2.0,,10.1127/njgpa/2023/1135,Batch 2: Recent papers (2021-2023)
A ray of hope? The re-appearance of Irish Sea skate decades after local extinction.,"Moore, A.B.M. (2023)",2023,A ray of hope? The re-appearance of Irish Sea skate decades after local extinction. Journal of Fish Biology,102.0,6.0,,10.1111/jfb.15385,Batch 2: Recent papers (2021-2023)
"A review of elasmobranch catch-and-release science: synthesis of current knowledge, implications for best practice and future research directions.","Cameron, L.W.J. & Roche, W.K. & Beckett, K. & Payne, N.L. (2023)",2023,"A review of elasmobranch catch-and-release science: synthesis of current knowledge, implications for best practice and future research directions. Conservation Physiology",11.0,1.0,,10.1093/conphys/coad100,Batch 2: Recent papers (2021-2023)
A review of shark conservation and management legal frameworks in the Philippines.,"Oposa, A.R. & Techera, E.J. (2023)",2023,A review of shark conservation and management legal frameworks in the Philippines. Marine Policy,,,,10.1016/j.marpol.2023.105713,Batch 2: Recent papers (2021-2023)
"A review of the behaviours of the Chondrichthyes: a multi-species ethogram for the chimaeras, sharks, and rays.","Klimley, A.P. & Porcher, I.F. & Clua, E.E.G. & Pratt, H.L. & Jr. (2023)",2023,"A review of the behaviours of the Chondrichthyes: a multi-species ethogram for the chimaeras, sharks, and rays. Behaviour",160.0,,,10.1163/1568539X-bja10214,Batch 2: Recent papers (2021-2023)
A review of tonic immobility as an adaptive behavior in sharks.,"Paez, A.M. & Padilla, E.M.H. & Klimley, A.P. (2023)",2023,A review of tonic immobility as an adaptive behavior in sharks. Environmental Biology of Fishes,106.0,6.0,,10.1007/s10641-023-01413-1,Batch 2: Recent papers (2021-2023)
A shark-inspired general model of tooth morphogenesis unveils developmental asymmetries in phenotype transitions.,"Zimm, R. & Berio, F. & Debiais-Thibaud, M. & Goudemand, N. (2023)",2023,A shark-inspired general model of tooth morphogenesis unveils developmental asymmetries in phenotype transitions. Proceedings of the National Academy of Sciences of the United States of America,120.0,15.0,,10.1073/pnas.2216959120,Batch 2: Recent papers (2021-2023)
"A systematic conservation plan identifying critical areas for improved chondrichthyan protection in South Africa (vol 284, 110163, 2023).","Faure-Beaulieu, N. & Lombard, A.T. & Olbers, J. & Goodall, V. & da Silva, C. & Daly, R. & Jordaan, G. & Kerwath, S.E. & Kock, A. & Mann, B.Q. & Murray, T.S. & Albano, P. & Cliff, G. & dos Santos, N.A. & Gennari, E. & Hammerschlagh, N. & Bester-van der Merwej, A.E. & Watson, R.G.A. & Andreotti, S. & Bernardf, A.T.F. & Cowley, P.D. & De Vos, L. & Drobniewska, N. & Elston, C. & Fallows, C. & Rogers, T.D. & Smithu, G. & van Staden, M. & de Villiers, P. & Paulet, T.G. & Harris, J. (2023)",2023,A systematic conservation plan identifying critical areas for improved chondrichthyan protection in South Africa (vol 284,,,,10.1016/j.biocon.2023.110189,Batch 2: Recent papers (2021-2023)
A systematic conservation plan identifying critical areas for improved chondrichthyan protection in South Africa.,"Faure-Beaulieu, N. & Lombard, A.T. & Olbers, J. & Goodall, V. & da Silva, C. & Daly, R. & Jordaan, G. & Kerwath, S.E. & Kock, A. & Mann, B.Q. & Murray, T.S. & Albano, P. & Cliff, G. & dos Santos, N.A. & Gennari, E. & Hammerschlag, N. & van der Merwe, A.E.B. & Watson, R. & Andreotti, S. & Bernard, A.T.F. & Cowley, P.D. & De Vos, L. & Drobniewska, N. & Elston, C. & Fallows, C. & Rogers, T.D. & Smith, G. & van Staden, M. & de Villiers, P. & Paulet, T.G. & Harris, J. (2023)",2023,A systematic conservation plan identifying critical areas for improved chondrichthyan protection in South Africa. Biological Conservation,,,,10.1016/j.biocon.2023.110163,Batch 2: Recent papers (2021-2023)
A systematic review of sensory deterrents for bycatch mitigation of marine megafauna.,"Lucas, S. & Berggren, P. (2023)",2023,A systematic review of sensory deterrents for bycatch mitigation of marine megafauna. Reviews in Fish Biology and Fisheries,,,,10.1007/s11160-022-09736-5,Batch 2: Recent papers (2021-2023)
A systematic review on polycyclic aromatic hydrocarbon contamination in elasmobranchs and associated human health risks.,"Monteiro, F.C. & da Silva Carreira, R. & Gramlich, K.C. & Vianna de Pinho, J. & Massone, C.G. & Vianna, M. & Hauser-Davis, R.A. (2023)",2023,A systematic review on polycyclic aromatic hydrocarbon contamination in elasmobranchs and associated human health risks. Marine Pollution Bulletin,,,,10.1016/j.marpolbul.2023.115535,Batch 2: Recent papers (2021-2023)
A unified paradigm for defining elasmobranch aggregations.,"McInturf, A.G. & Bowman, J. & Schulte, J.M. & Newton, K.C. & Vigil, B. & Honig, M. & Pelletier, S. & Cox, N. & Lester, O. & Cantor, M. & Chapple, T.K. (2023)",2023,A unified paradigm for defining elasmobranch aggregations. ICES Journal of Marine Science,80.0,6.0,,10.1093/icesjms/fsad099,Batch 2: Recent papers (2021-2023)
